Student_ID	Education_Level		Age	Location	Category	Institute_Type	Medium	Monthly_Income_INR	Father_Education	Mother_Education	Internet_Access	Tuition_Classes	Scholarship	Family_Size	Distance_To_Institute_KM	Study_Hours_Per_Day	Attendance_Percentage	Sleep_Hours	Stress_Level	Previous_Percentage	Final_Percentage
15	School	Female	17	Rural	General	Private	Hindi	27285	10th	Postgraduate	Yes	Yes	No	5	9.3	2.8	84	6.4	Low	76.7	53.4
16	School	Male	18	Rural	OBC	Government	Hindi	35555	Postgraduate	No School	Yes	Yes	No	7	7	3.6	66.6	5.1	Low	98	55.7
17	School	Male	17	Rural	General	Government	English	46014	12th	No School	Yes	Yes	Yes	7	16.3	4.6	78	5.1	Medium	96.7	71.1
18	School	Female	18	Rural	ST	Government	English	42414	No School	No School	No	Yes	No	4	6.4	2.1	73.7	8.9	Medium	80.7	41.3
19	School	Female	16	Urban	SC	Government	Hindi	9237	No School	10th	No	No	Yes	6	14.3	2.3	70	7.1	Medium	85.3	46.1
20	School	Male	15	Urban	OBC	Private	English	42079	12th	10th	No	Yes	No	5	16.6	2	70.7	6.5	Low	84.9	53.9
21	School	Female	14	Rural	General	Government	English	19841	12th	Graduate	Yes	Yes	Yes	6	14.5	2.8	75.5	6.8	Medium	81.5	55.1
22	School	Male	14	Urban	General	Government	Hindi	8060	12th	10th	Yes	Yes	No	6	14.4	3	62.5	7	Low	79.4	50.2
23	School	Male	16	Urban	OBC	Government	Hindi	12877	10th	Postgraduate	Yes	Yes	Yes	3	6.3	4.1	89.2	5.9	Medium	96.6	71.7
24	School	Male	14	Rural	OBC	Government	Hindi	7313	12th	Postgraduate	Yes	No	No	7	10.7	1.7	72.3	8.1	Medium	66.2	43.6
25	School	Male	15	Urban	General	Private	Hindi	69107	10th	12th	No	Yes	No	5	13	3.6	69.5	7.5	Medium	91.8	59.4
26	School	Female	17	Urban	General	Government	Hindi	159878	10th	10th	Yes	Yes	Yes	4	13.7	3.1	84.9	8.1	Medium	97.2	70.7
27	School	Male	15	Urban	OBC	Private	English	22369	Graduate	No School	Yes	Yes	No	3	2.1	3.4	92	5.7	Medium	86.6	62.3
28	School	Female	14	Rural	SC	Government	Hindi	7767	12th	10th	Yes	No	Yes	3	10.2	3	72.6	6.7	Medium	68.7	38
29	School	Female	18	Rural	OBC	Government	Hindi	21582	No School	Graduate	No	No	Yes	8	6.9	3	59.4	7.9	Low	70.7	47
30	School	Male	15	Rural	General	Private	English	87582	12th	10th	No	No	Yes	3	8	1.6	77.6	8	Medium	72.2	44.6
31	School	Female	15	Rural	OBC	Government	Hindi	27756	Graduate	No School	Yes	Yes	No	3	6.4	2.2	76.6	6.4	Low	92.1	51.4
32	School	Female	16	Urban	OBC	Government	Hindi	6647	No School	No School	Yes	Yes	No	6	11.6	2.3	66.1	7.7	Low	77.3	41.4
33	School	Male	14	Rural	OBC	Private	Hindi	13707	12th	No School	Yes	Yes	Yes	3	13.9	3.7	77.3	5.9	Low	87.1	61.9
34	School	Male	17	Urban	OBC	Government	Hindi	9757	12th	10th	Yes	Yes	No	6	6.9	1.9	80.6	8.5	Medium	72.2	51.7
35	School	Female	17	Urban	OBC	Private	Hindi	6703	No School	No School	Yes	Yes	No	6	16	3.2	64.8	5.2	Low	79.1	53.4
36	School	Male	18	Rural	OBC	Government	Hindi	9128	12th	12th	Yes	Yes	No	3	15.2	1.3	54.1	7.8	High	61.3	39.1
37	School	Female	14	Rural	OBC	Government	English	12757	Postgraduate	12th	Yes	Yes	No	5	12.5	2.7	67.2	7.7	Low	74.4	54.5
38	School	Female	15	Urban	OBC	Government	Hindi	49101	Graduate	Postgraduate	Yes	Yes	Yes	3	3.8	0.5	71.4	8.5	Medium	75	54.9
39	School	Male	17	Urban	General	Government	Hindi	87054	12th	Graduate	Yes	Yes	No	3	17.3	0.5	63	6.2	Medium	61	44
40	School	Female	16	Urban	OBC	Private	Hindi	55479	12th	No School	No	Yes	Yes	4	11.4	2.7	78.6	8.2	Low	95.7	56.7
41	School	Male	18	Rural	General	Government	English	6864	No School	10th	Yes	Yes	Yes	5	16	1.2	71.5	7	Low	76.4	45
42	School	Male	15	Urban	General	Private	Hindi	65878	No School	No School	Yes	No	Yes	5	17.2	3.3	74.3	8.8	Low	87.6	54
43	School	Female	14	Rural	SC	Government	Hindi	7495	No School	Graduate	Yes	Yes	No	8	1	3.8	89.6	8.1	Medium	98	58.7
44	School	Female	16	Urban	General	Private	English	17445	12th	Graduate	No	No	No	6	7.3	3.4	71.6	8.9	Low	81.3	52
45	School	Male	14	Urban	ST	Government	Hindi	23726	10th	10th	No	Yes	No	4	7.4	2.3	78.5	8.6	Low	80.6	56.2
46	School	Male	15	Rural	ST	Government	Hindi	190663	No School	Graduate	Yes	No	No	8	13	3.5	72.3	8.6	Low	74.9	57.7
47	School	Female	18	Urban	OBC	Government	Hindi	8926	12th	10th	Yes	Yes	No	4	3.6	2.9	78.5	8.4	Medium	95.6	57.8
48	School	Male	16	Rural	OBC	Government	Hindi	25157	10th	10th	Yes	No	No	6	4.9	3.1	89.3	5.1	Low	86.4	56.1
49	School	Female	14	Urban	OBC	Private	Hindi	76522	Graduate	Graduate	Yes	Yes	No	4	17.6	2.6	66.2	8.4	Low	97.9	64.5
50	School	Male	18	Rural	OBC	Private	Hindi	4917	Graduate	12th	Yes	No	Yes	6	12.3	0.5	69.7	6.5	Low	58.6	31.1
51	School	Female	14	Rural	OBC	Private	Hindi	6038	10th	No School	Yes	Yes	No	5	8.3	3.1	72.2	5.7	Medium	78.9	55.8
52	School	Male	16	Urban	SC	Government	Hindi	26815	No School	Graduate	Yes	Yes	No	4	15.9	2.9	79	6.1	Low	78.3	59
53	School	Male	15	Rural	OBC	Private	Hindi	187184	Graduate	No School	Yes	Yes	Yes	8	6.3	4.6	87.6	8.6	Low	85.9	65.4
54	School	Male	17	Urban	General	Private	Hindi	5067	12th	No School	Yes	No	No	8	5.7	5.7	78.8	8.4	Low	92.7	61.1
55	School	Female	14	Urban	OBC	Government	Hindi	8326	10th	10th	Yes	Yes	Yes	5	2.5	3.8	73.9	6	Medium	76.2	46.2
56	School	Male	18	Rural	OBC	Government	Hindi	60674	10th	Graduate	Yes	Yes	Yes	7	10.9	3.6	73	7.7	Low	76.8	61.7
57	School	Male	14	Rural	SC	Government	Hindi	44182	Graduate	No School	Yes	Yes	No	4	6.9	4.2	83.2	7.5	Low	98	65.1
58	School	Male	18	Rural	OBC	Government	Hindi	14974	Graduate	No School	Yes	No	Yes	4	10.2	4.4	83.6	8.5	Medium	87.9	60
59	School	Male	15	Urban	SC	Private	Hindi	16170	Graduate	Graduate	Yes	No	Yes	5	15	2.4	83.2	6.8	Low	83.3	59.3
60	School	Male	14	Urban	OBC	Government	Hindi	54455	12th	No School	No	Yes	Yes	5	7.7	4.5	89.7	6.4	Low	97.1	66.4
61	School	Male	15	Urban	General	Government	Hindi	108281	Graduate	Graduate	Yes	Yes	No	5	9.1	1.9	75.4	6.5	Medium	86.1	64.7
62	School	Female	18	Rural	General	Private	Hindi	4207	10th	No School	Yes	Yes	Yes	8	10.4	1.8	85.4	5.2	Medium	85.2	52.6
63	School	Female	14	Rural	SC	Government	Hindi	5149	12th	No School	No	No	Yes	5	0.7	2.5	72.1	6	Low	77.3	45.8
64	School	Male	18	Urban	SC	Government	Hindi	39733	Graduate	10th	Yes	Yes	No	6	16.8	3.8	77.5	5.3	Low	89.2	61.2
65	School	Male	15	Urban	OBC	Private	Hindi	16982	10th	12th	Yes	Yes	Yes	4	2.4	0.5	70.1	6.6	Low	61.3	39.7
66	School	Female	18	Rural	OBC	Government	Hindi	41905	Graduate	10th	Yes	No	Yes	8	6.3	3.5	90.6	5.9	Low	87	60.8
67	School	Male	17	Rural	SC	Government	Hindi	9936	No School	10th	Yes	No	No	8	8.5	2.7	88.3	5.1	Low	85.8	49.5
68	School	Male	17	Urban	General	Government	English	5726	10th	12th	Yes	No	No	3	4.2	1.3	76.8	8.8	Low	68.9	46.2
69	School	Male	14	Urban	OBC	Private	Hindi	24502	12th	10th	Yes	Yes	No	5	8.2	4.8	83	7.1	Low	87.8	68
70	School	Female	17	Rural	General	Government	English	14629	Graduate	12th	Yes	Yes	Yes	3	7.9	2.6	73.1	5.1	Medium	74	57.9
71	School	Female	18	Rural	General	Government	Hindi	13871	Graduate	12th	Yes	Yes	Yes	7	17.2	4	84.3	5.2	Low	92	65.2
72	School	Female	16	Rural	OBC	Private	English	19116	12th	12th	Yes	Yes	No	4	16.5	2.6	64.3	5	Low	89.1	63
73	School	Female	18	Urban	SC	Private	Hindi	15921	No School	No School	Yes	Yes	Yes	6	1.7	1.2	73.3	6.1	Low	77	41.6
74	School	Male	16	Urban	General	Government	Hindi	15855	12th	10th	Yes	No	No	7	17.6	3.4	80.8	6.8	Low	82.2	47.7
75	School	Female	15	Urban	SC	Government	Hindi	13738	10th	Graduate	Yes	No	Yes	5	15.4	2.7	93.1	6.4	Medium	96.3	61.9
76	School	Male	18	Rural	OBC	Government	Hindi	76651	Graduate	Graduate	Yes	No	Yes	7	16.2	4.3	84.3	5.7	Medium	89.5	69.1
77	School	Female	14	Rural	OBC	Private	Hindi	9969	12th	Graduate	No	Yes	Yes	4	17.1	1.9	74.3	8.4	Low	74	48.8
78	School	Male	15	Rural	OBC	Government	Hindi	84151	Graduate	No School	No	Yes	Yes	8	12.9	0.9	75.9	6.3	Low	70.8	44.9
79	School	Female	18	Rural	General	Government	English	4349	10th	10th	Yes	No	No	5	9.3	0.5	66.1	6.7	Low	60.9	37.2
80	School	Male	18	Urban	OBC	Government	Hindi	4872	12th	10th	Yes	No	Yes	5	4	2.8	77.2	6.2	Medium	83.4	51.5
81	School	Female	15	Urban	General	Government	English	18770	10th	12th	No	No	No	6	1.6	3.7	94.8	7.8	Medium	81.9	54.2
82	School	Female	14	Urban	OBC	Private	Hindi	20744	10th	12th	Yes	Yes	No	7	16.8	2.7	67.6	8.6	Low	75.7	53.2
83	School	Female	16	Urban	SC	Government	Hindi	42787	Graduate	10th	Yes	Yes	Yes	7	9.5	2.9	83.5	6.9	Low	87.7	53.9
84	School	Male	14	Urban	General	Private	Hindi	93323	Graduate	12th	No	No	No	4	4.3	3.8	82.5	5.5	Low	92.7	61.2
85	School	Female	17	Rural	General	Private	English	39003	12th	No School	No	Yes	No	5	17.2	1	80.9	8	Low	74.1	46.9
86	School	Male	18	Rural	OBC	Government	English	15849	Graduate	10th	Yes	No	Yes	6	13.5	1.2	79.1	6.6	Low	86.3	46.7
87	School	Male	14	Urban	General	Private	Hindi	5757	Graduate	Graduate	Yes	No	No	4	7.8	5.3	76.9	7.1	Low	88.5	66.5
88	School	Male	15	Rural	OBC	Private	English	84885	No School	Graduate	Yes	No	No	7	14.1	2	60.9	5.4	Low	70.4	44.3
89	School	Male	17	Rural	OBC	Government	Hindi	10542	Graduate	Graduate	Yes	Yes	No	5	6.1	2.7	62.4	5.5	Low	93	64.6
90	School	Female	18	Rural	OBC	Government	Hindi	4620	No School	Graduate	No	No	Yes	6	13.7	4.3	89.1	7.1	Medium	89.5	49.7
91	School	Male	14	Urban	OBC	Government	English	5129	10th	Graduate	Yes	Yes	Yes	6	5.2	2.7	80.7	5.1	Medium	98	65.9
92	School	Female	15	Urban	SC	Private	English	20532	Postgraduate	12th	Yes	Yes	No	7	12.3	1.9	66.7	6.8	Low	73.7	49.2
93	School	Female	14	Urban	OBC	Private	Hindi	28972	No School	12th	Yes	Yes	No	8	3.6	4.3	77.5	6.2	Low	90.6	64.2
94	School	Male	16	Rural	General	Private	Hindi	20447	Graduate	10th	Yes	Yes	No	4	17.4	3.7	85.6	5	Low	98	70.9
95	School	Male	17	Urban	SC	Private	Hindi	47111	10th	12th	Yes	No	No	6	6.3	3	72.1	5.1	Low	84.7	57.3
96	School	Female	17	Rural	OBC	Government	Hindi	12588	No School	Graduate	Yes	Yes	No	7	5.4	2.5	76.4	6.8	Low	78.2	55.5
97	School	Male	15	Urban	SC	Government	Hindi	4171	Graduate	Graduate	No	Yes	No	3	13.7	2.8	69.2	5.1	Medium	75.3	45.6
98	School	Female	15	Rural	SC	Government	English	45990	12th	12th	Yes	No	No	8	13.9	4.7	75.7	5.2	Medium	90.8	63.2
99	School	Female	15	Urban	SC	Government	Hindi	9490	12th	12th	Yes	Yes	Yes	6	14.7	0.7	67.6	8.1	Low	57.3	48.4
100	School	Female	17	Rural	General	Government	Hindi	7912	10th	Graduate	Yes	No	No	5	2.8	1.1	79.6	7.2	Medium	67.1	43.4
101	School	Female	17	Rural	SC	Government	Hindi	174046	Graduate	10th	Yes	No	No	8	11.8	2.7	68.2	5	Medium	68.1	49.9
102	School	Male	17	Urban	OBC	Government	Hindi	20440	10th	Graduate	No	Yes	Yes	6	3.8	4	100	6.4	Medium	94.6	67.1
103	School	Male	17	Urban	OBC	Private	Hindi	7579	12th	10th	Yes	Yes	No	6	3.4	4.1	91.9	6.7	Low	98	62.1
104	School	Male	14	Urban	SC	Government	Hindi	16283	Graduate	10th	Yes	Yes	No	5	9.1	2.5	65.2	5.9	Medium	74.9	50.4
105	School	Female	18	Rural	General	Government	Hindi	43930	12th	12th	Yes	Yes	No	3	5.3	5.1	92.8	8.7	Low	75.3	55.7
106	School	Male	18	Rural	OBC	Private	Hindi	37730	10th	12th	Yes	No	No	6	9.5	2.2	72.3	7.8	Low	66.4	41.5
107	School	Male	16	Urban	SC	Government	English	23869	10th	12th	Yes	Yes	No	3	14.5	2.2	95.5	8.3	Medium	91.2	56
108	School	Male	18	Rural	OBC	Government	Hindi	9725	12th	10th	Yes	Yes	No	3	0.6	4.6	90.3	5.2	Low	85.9	64.4
109	School	Female	14	Rural	OBC	Private	Hindi	8686	12th	10th	Yes	No	Yes	8	5.7	3.3	67.4	6.4	Low	91.6	59.6
110	School	Male	15	Urban	OBC	Private	Hindi	23554	12th	12th	Yes	Yes	No	5	11	1.2	60.9	7.6	Low	69.2	41.6
111	School	Female	15	Urban	General	Private	Hindi	14489	Graduate	Postgraduate	Yes	Yes	No	6	7.6	2.7	81.9	8.6	Low	77.7	56.6
112	School	Female	14	Rural	General	Government	English	59420	10th	10th	Yes	No	Yes	3	16.6	2.7	75.5	8.7	Low	86.1	49.8
113	School	Female	18	Rural	OBC	Private	Hindi	20470	10th	12th	Yes	Yes	No	6	9	3.7	87.6	7.3	Medium	98	65.6
114	School	Male	17	Rural	SC	Government	Hindi	23860	10th	No School	Yes	Yes	Yes	6	4.2	5.4	86.9	6.6	Low	98	67.2
115	School	Female	18	Urban	OBC	Private	Hindi	14282	Graduate	Graduate	Yes	Yes	Yes	7	11.1	3.3	76.6	8.1	Low	66.8	53.3
116	School	Female	17	Urban	SC	Private	Hindi	14627	10th	Graduate	Yes	No	No	4	17.8	3.4	81	8.1	Low	76.2	51.6
117	School	Male	14	Urban	General	Government	English	23093	10th	12th	Yes	No	No	8	14.3	3.6	80.2	6.5	Low	98	66.2
118	School	Female	17	Rural	ST	Government	English	79385	Graduate	10th	Yes	Yes	Yes	7	17	0.5	78.1	7.6	Low	71.8	51.2
119	School	Female	16	Urban	SC	Government	Hindi	10685	12th	12th	No	No	No	4	15.9	3.2	82.5	5.8	Low	77.6	50.9
120	School	Male	14	Rural	SC	Government	English	18113	10th	Postgraduate	Yes	No	Yes	7	14.4	0.5	58.8	6.6	Low	67.9	34
121	School	Male	16	Urban	OBC	Private	Hindi	15087	10th	No School	Yes	Yes	No	6	17.7	3.2	71.5	5.9	Medium	82.3	55
122	School	Female	17	Urban	SC	Government	Hindi	30813	10th	Graduate	Yes	Yes	Yes	8	16.1	4	88.6	5.5	Low	98	69.5
123	School	Female	14	Rural	SC	Government	English	8126	Graduate	No School	Yes	Yes	Yes	7	17.7	1.6	62.4	6.5	Low	66.1	48.3
124	School	Male	17	Rural	SC	Government	Hindi	79284	10th	Graduate	Yes	Yes	No	8	16.2	3.4	59.6	6.2	Medium	66.8	53.4
125	School	Male	18	Rural	ST	Private	English	22259	10th	No School	Yes	No	No	8	1.2	4.3	81	5.5	Medium	97	55.3
126	School	Male	14	Rural	SC	Government	English	6098	12th	12th	Yes	Yes	Yes	3	4.3	0.8	56.5	6.4	Low	68	46.7
127	School	Male	14	Urban	OBC	Private	Hindi	18889	10th	10th	Yes	No	Yes	8	5.9	2.2	85.1	7.2	Low	97.7	59.3
128	School	Female	17	Rural	SC	Private	Hindi	24872	10th	12th	Yes	Yes	Yes	8	2.2	4.6	79.3	8.9	Medium	96.4	67.8
129	School	Male	16	Urban	General	Government	Hindi	31313	12th	Graduate	No	Yes	No	3	9.5	5.6	86.4	8.5	Medium	98	69.5
130	School	Female	15	Rural	OBC	Government	English	6262	Graduate	Graduate	No	Yes	Yes	4	12.6	1.4	71.2	5.2	Medium	67.2	48.1
131	School	Male	18	Urban	OBC	Government	Hindi	19363	10th	10th	Yes	Yes	Yes	8	16.8	4.4	71.7	7.3	Low	86	59.9
132	School	Male	18	Rural	SC	Government	Hindi	38999	Graduate	12th	Yes	No	No	5	3.1	3.7	83	8.2	Medium	89.1	60.6
133	School	Male	16	Rural	General	Private	English	24745	12th	Graduate	Yes	Yes	Yes	7	4.3	3	80.7	8.8	Medium	90.2	65.6
134	School	Female	15	Rural	SC	Government	English	22466	12th	Graduate	Yes	Yes	No	7	2.6	4.3	78.5	7.9	Low	98	64.8
135	School	Male	18	Urban	General	Private	Hindi	28622	Graduate	10th	Yes	Yes	No	5	6.6	5.8	72.1	7.7	Low	98	66
136	School	Male	18	Urban	General	Government	Hindi	17716	10th	12th	No	Yes	No	6	2.8	3.7	73.8	5.4	Medium	79.3	54.1
137	School	Female	18	Rural	ST	Government	English	6996	Postgraduate	12th	No	No	Yes	4	5.9	2.5	76.1	7.5	Low	78.1	50
138	School	Male	18	Rural	SC	Government	Hindi	38930	12th	10th	No	Yes	Yes	5	15	2.1	60.5	6.2	Low	71.9	45.1
139	School	Female	18	Rural	OBC	Government	Hindi	19951	12th	12th	Yes	No	Yes	8	18	5.2	76.9	8.8	Low	96.1	60
140	School	Male	16	Urban	OBC	Government	Hindi	11029	12th	10th	Yes	Yes	Yes	5	10.6	2.6	72.5	5.2	Medium	74.4	54.7
141	School	Female	16	Urban	OBC	Private	English	25641	12th	No School	No	Yes	Yes	8	2	5.2	92.4	5.6	Medium	98	67.4
142	School	Male	16	Rural	General	Private	Hindi	85794	12th	12th	Yes	No	No	5	3.9	3.6	92.4	7.4	Low	87.4	59.9
143	School	Female	18	Rural	ST	Government	Hindi	91645	10th	No School	Yes	Yes	No	7	15.5	2.6	77	7.6	Low	94.4	61.4
144	School	Female	14	Rural	General	Government	Hindi	22238	12th	10th	Yes	Yes	Yes	8	17.9	1.2	63.3	7.7	Low	78.7	53.2
145	School	Female	15	Urban	General	Government	Hindi	6347	12th	12th	Yes	No	No	8	11.8	2.7	77.1	8.5	Low	81.1	59.5
146	School	Male	14	Rural	OBC	Government	Hindi	4101	Graduate	No School	Yes	No	No	7	10.2	3.1	68.8	8.2	Low	79.3	48.5
147	School	Female	14	Urban	OBC	Government	English	8991	10th	10th	Yes	Yes	Yes	4	2.4	4.1	80.6	6.8	Medium	92.6	65.2
148	School	Female	17	Rural	General	Private	English	19157	No School	10th	No	Yes	Yes	3	14.7	0.5	58.9	7.2	Low	62.8	32.6
149	School	Male	16	Urban	OBC	Private	Hindi	91808	10th	10th	Yes	Yes	Yes	4	11.7	3.2	77.1	7.9	Medium	82.6	58
150	School	Female	17	Rural	General	Government	English	13306	10th	10th	Yes	Yes	Yes	4	4.9	2.8	82.5	6.5	Low	85.5	60
151	School	Male	15	Urban	SC	Government	Hindi	30817	No School	10th	Yes	No	Yes	8	1.7	2.4	69	7.8	Low	69.6	42.1
152	School	Female	18	Urban	General	Government	English	10231	10th	Graduate	Yes	Yes	No	6	5.9	0.5	60.7	6.6	Low	68.2	36.9
153	School	Male	14	Rural	OBC	Government	English	99520	10th	Postgraduate	No	Yes	No	6	6.4	3.2	82.6	8.5	Low	82.6	60.4
154	School	Female	16	Rural	SC	Private	English	11007	12th	No School	Yes	Yes	Yes	3	16.1	2.3	79.5	8	Low	82.2	50.8
155	School	Male	18	Rural	OBC	Private	English	33589	No School	12th	Yes	Yes	No	8	16.9	2.2	66.5	5.7	Low	79.4	48.5
156	School	Female	16	Rural	OBC	Government	Hindi	93265	12th	12th	Yes	Yes	No	3	7.4	3.7	86.4	5.5	Low	97.6	67.1
157	School	Female	17	Urban	SC	Private	Hindi	19936	10th	Postgraduate	Yes	No	No	4	13.2	1.9	93.1	5.8	Medium	87.6	57
158	School	Female	18	Urban	SC	Government	Hindi	36074	10th	12th	Yes	Yes	No	8	14.6	3.5	74	7.2	Low	86.7	56.4
159	School	Male	14	Urban	General	Government	Hindi	79565	10th	12th	Yes	No	No	6	3.1	1.1	71.3	7.8	Medium	56.1	35.7
160	School	Female	17	Rural	OBC	Government	Hindi	6627	10th	10th	Yes	No	No	3	9.6	1.6	69.5	8.9	Low	78.7	47
161	School	Male	17	Urban	General	Government	Hindi	88853	Graduate	Graduate	Yes	Yes	Yes	7	3.7	3.2	78.2	5.5	Low	82.5	60.6
162	School	Female	14	Rural	General	Government	English	50069	12th	No School	Yes	Yes	Yes	3	9.1	2.6	82.7	6.7	Medium	82.9	54.6
163	School	Male	16	Urban	General	Government	Hindi	24072	Postgraduate	Graduate	Yes	Yes	Yes	8	5	3.1	79.3	5.4	Low	93.1	65.1
164	School	Male	17	Rural	General	Government	English	57189	12th	No School	Yes	No	No	7	7.4	4	88.7	8.3	Low	83.9	57.2
165	School	Female	14	Urban	General	Private	Hindi	9745	10th	Graduate	No	Yes	No	8	2.6	3.7	79.5	6.8	Medium	81	57.3
166	School	Male	18	Urban	General	Government	Hindi	67566	10th	Graduate	No	No	No	6	13.3	5.3	66.3	6.1	Medium	85.8	45.1
167	School	Female	14	Urban	General	Private	Hindi	69332	12th	10th	Yes	No	No	4	12.5	2.2	93.6	7.9	Low	88.2	53.6
168	School	Male	17	Rural	OBC	Government	Hindi	28440	10th	12th	Yes	Yes	No	3	8.3	6	86	6.6	Low	94.8	73.3
169	School	Male	15	Rural	General	Government	Hindi	20257	12th	No School	No	No	No	3	16.7	2.5	72.9	5.9	Medium	78.1	38.1
170	School	Female	18	Rural	General	Government	Hindi	8485	Graduate	10th	Yes	Yes	Yes	6	13.1	3	81.4	7.2	Medium	88.9	73.6
171	School	Female	16	Rural	SC	Private	Hindi	68024	12th	12th	Yes	No	No	6	16.5	2.1	77.8	5.3	Low	71.2	48.7
172	School	Female	16	Rural	OBC	Government	English	4099	Graduate	10th	Yes	No	No	8	4	5	84.6	8.7	Medium	98	60
173	School	Male	16	Rural	General	Government	English	18584	12th	10th	Yes	No	No	8	9.4	0.5	79.4	8.8	Low	61.5	39.5
174	School	Female	14	Urban	OBC	Private	English	24471	10th	Graduate	No	Yes	Yes	5	10.3	4.3	78	5.4	Medium	89.6	52.4
175	School	Male	15	Rural	OBC	Government	English	23507	10th	No School	Yes	No	No	8	5.7	2.4	83.8	6.7	Low	80.6	52.2
176	School	Male	17	Rural	OBC	Government	Hindi	29464	No School	10th	Yes	Yes	No	4	15	1.9	76.6	7.9	Medium	76.7	44.5
177	School	Female	16	Urban	OBC	Private	Hindi	13634	12th	10th	Yes	Yes	Yes	5	1	3.8	79.1	7	Medium	95.9	67.2
178	School	Female	14	Urban	ST	Private	Hindi	14571	No School	10th	Yes	No	No	6	16.5	3.1	83.7	5.8	Low	97	53.9
179	School	Female	17	Urban	General	Private	Hindi	10808	Postgraduate	10th	Yes	Yes	Yes	7	16	3.4	76.4	7.8	Medium	88.1	60.2
180	School	Female	15	Rural	General	Private	Hindi	61385	12th	12th	Yes	Yes	Yes	5	0.7	1.6	70.4	5.7	Low	77.7	56.4
181	School	Female	15	Rural	SC	Government	Hindi	5974	Graduate	12th	Yes	No	Yes	3	7.2	3	83.5	8.4	Medium	75.8	57.5
182	School	Male	14	Rural	General	Private	English	37888	Graduate	Postgraduate	Yes	No	No	5	9.9	3.7	79.5	8	Low	84.6	64.8
183	School	Male	16	Urban	General	Private	English	43980	Postgraduate	Graduate	No	No	No	4	11.7	0.5	70.5	6.3	Low	73.5	50.5
184	School	Male	16	Rural	OBC	Government	English	21919	12th	10th	Yes	Yes	No	4	11.9	4.4	61.2	7.5	Medium	98	65.9
185	School	Male	15	Urban	OBC	Government	English	60745	10th	10th	Yes	Yes	No	3	12.6	3.5	69	8.3	Low	72.9	47.6
186	School	Male	14	Rural	General	Private	Hindi	10252	Graduate	10th	Yes	Yes	No	4	0.6	4.5	83.8	5.7	Medium	97.3	67.1
187	School	Male	17	Rural	General	Private	Hindi	19261	Graduate	12th	Yes	No	Yes	4	12	2.4	60.6	7.1	Low	70.3	45.4
188	School	Female	15	Rural	General	Government	English	6196	No School	10th	Yes	Yes	Yes	6	17.7	4.5	75.1	7.5	Low	79.4	56.6
189	School	Female	15	Urban	General	Private	Hindi	14330	Graduate	Graduate	Yes	Yes	No	3	11.7	3.1	72.4	6	Low	82.5	66.2
190	School	Female	16	Urban	General	Private	Hindi	16281	12th	12th	Yes	Yes	Yes	6	16.2	2.9	86.7	8.4	Low	88.6	64.6
191	School	Female	17	Rural	SC	Government	English	37041	10th	10th	Yes	Yes	No	6	16.4	1.6	57.5	6.6	Low	66.2	38.6
