Student_ID,Education_Level,Gender,Age,Location,Category,Institute_Type,Medium,Monthly_Income_INR,Father_Education,Mother_Education,Internet_Access,Smartphone_Available,Laptop_Available,Tuition_Classes,Scholarship,Family_Size,Distance_To_Institute_KM,Study_Hours_Per_Day,Attendance_Percentage,Sleep_Hours,Stress_Level,Previous_Percentage,Final_Percentage
57,College,Female,22,Rural,OBC,Government,Hindi,23160,10th,Graduate,Yes,Yes,No,No,No,4,11.2,1.7,79.7,8.1,Low,87.5,35.2
58,College,Male,24,Urban,SC,Private,Hindi,101668,Postgraduate,10th,Yes,Yes,No,Yes,No,3,14.3,3.1,75.5,7.6,Medium,98.0,50.1
59,College,Female,22,Rural,OBC,Government,English,87293,Postgraduate,No School,Yes,Yes,Yes,Yes,Yes,3,10.9,3.5,75.2,5.2,Low,98.0,55.7
60,College,Male,19,Rural,General,Government,English,4776,12th,12th,Yes,Yes,Yes,No,No,6,16.9,3.7,66.6,6.0,Low,73.3,30.5
61,College,Male,20,Rural,General,Private,Hindi,4793,10th,12th,Yes,Yes,Yes,No,Yes,5,8.7,2.9,67.3,7.5,Low,75.5,31.6
62,College,Male,17,Urban,OBC,Government,English,8943,12th,12th,Yes,Yes,No,Yes,No,6,10.5,3.9,61.5,6.5,Medium,79.4,30.2
63,College,Male,22,Rural,SC,Government,English,43989,Postgraduate,Postgraduate,Yes,Yes,Yes,No,No,3,9.7,3.6,74.2,6.3,Medium,97.6,46.0
64,College,Male,17,Urban,ST,Government,Hindi,74824,Graduate,No School,No,Yes,No,Yes,Yes,8,13.7,2.7,66.9,6.2,Low,95.1,38.2
65,College,Female,17,Rural,General,Government,Hindi,47370,12th,10th,Yes,No,Yes,Yes,Yes,4,17.2,1.6,78.1,7.2,Low,85.0,41.8
66,College,Female,19,Rural,General,Government,Hindi,38662,Graduate,10th,Yes,Yes,No,Yes,Yes,8,9.1,6.2,61.8,6.8,Medium,90.1,40.3
67,College,Male,19,Rural,General,Private,English,22771,10th,Graduate,Yes,Yes,Yes,No,No,7,2.5,3.3,76.1,8.8,Low,86.5,40.2
68,College,Male,24,Rural,General,Private,Hindi,29679,Graduate,Graduate,Yes,Yes,No,Yes,No,7,18.7,3.2,65.7,5.9,Low,79.7,31.5
69,College,Male,24,Urban,OBC,Government,Hindi,20302,No School,12th,Yes,Yes,No,Yes,Yes,8,12.9,3.9,79.6,8.5,Medium,91.6,44.7
70,College,Male,20,Urban,General,Government,English,27203,Graduate,12th,Yes,Yes,Yes,No,No,4,19.5,4.9,87.0,6.0,Low,95.3,38.3
71,College,Male,23,Urban,General,Government,English,38021,10th,Postgraduate,Yes,Yes,Yes,Yes,No,6,20.0,4.0,67.3,5.6,Low,91.8,41.3
72,College,Female,24,Rural,SC,Government,Hindi,81123,No School,10th,Yes,Yes,Yes,Yes,No,6,15.8,4.2,76.0,7.8,Low,98.0,47.4
73,College,Female,17,Rural,SC,Government,English,8584,12th,10th,Yes,Yes,No,Yes,Yes,4,4.5,4.5,80.2,8.3,Medium,93.4,43.9
74,College,Male,18,Urban,General,Government,Hindi,29459,Graduate,10th,No,Yes,No,No,Yes,3,13.8,4.6,96.4,7.0,Low,98.0,37.5
75,College,Male,18,Rural,OBC,Private,English,28325,10th,No School,Yes,Yes,No,No,Yes,6,8.2,2.2,73.5,6.7,Low,98.0,38.7
76,College,Male,22,Rural,SC,Government,English,38036,No School,10th,Yes,Yes,Yes,No,No,4,6.8,2.4,75.1,5.8,Low,77.3,35.4
77,College,Female,24,Rural,OBC,Government,English,34055,12th,Graduate,Yes,Yes,No,No,No,3,14.4,3.1,63.8,5.8,Medium,81.7,31.9
78,College,Female,21,Rural,General,Government,Hindi,23784,Graduate,12th,Yes,Yes,Yes,Yes,No,4,16.7,3.4,73.0,5.5,Low,77.8,40.4
79,College,Male,19,Rural,ST,Government,Hindi,64833,12th,No School,Yes,Yes,Yes,No,No,8,19.2,3.9,78.8,5.7,Medium,98.0,45.7
80,College,Male,19,Rural,General,Government,English,23800,10th,Graduate,Yes,Yes,No,No,No,3,12.4,5.0,68.6,5.6,Low,88.5,40.3
81,College,Male,20,Rural,OBC,Private,English,33032,12th,No School,Yes,Yes,Yes,No,No,7,19.2,2.0,66.4,8.3,Medium,75.5,36.4
82,College,Female,22,Urban,ST,Government,Hindi,41351,Postgraduate,10th,Yes,No,No,Yes,No,8,4.2,0.5,67.2,5.6,Low,59.0,30.1
83,College,Male,19,Urban,SC,Private,Hindi,15747,Graduate,10th,No,Yes,Yes,Yes,Yes,5,14.4,2.2,81.6,5.7,Medium,69.3,39.5
84,College,Female,18,Rural,OBC,Government,Hindi,187078,Graduate,Graduate,Yes,Yes,Yes,No,No,5,18.7,5.6,91.1,5.3,Low,98.0,68.8
85,College,Male,21,Urban,OBC,Private,Hindi,8347,12th,Graduate,No,Yes,No,No,No,6,12.8,1.9,72.9,5.9,Low,76.9,30.0
86,College,Male,17,Rural,OBC,Government,Hindi,9780,Postgraduate,10th,Yes,Yes,No,No,Yes,8,17.7,2.6,62.7,7.6,Low,78.5,34.3
87,College,Male,20,Rural,SC,Private,English,21286,Graduate,No School,Yes,Yes,Yes,Yes,Yes,7,8.4,2.7,69.0,4.6,Low,90.2,34.2
88,College,Female,21,Rural,SC,Private,Hindi,49759,Graduate,10th,Yes,No,Yes,No,No,6,10.9,2.9,68.7,7.4,Low,88.5,49.2
89,College,Male,19,Urban,General,Private,Hindi,9756,No School,10th,Yes,Yes,Yes,Yes,No,3,3.6,4.9,94.0,8.3,Low,93.2,45.6
90,College,Female,17,Urban,General,Government,Hindi,37557,No School,10th,Yes,Yes,No,No,Yes,6,14.9,2.4,68.3,5.2,Medium,89.5,44.7
91,College,Male,22,Rural,General,Private,Hindi,23513,10th,10th,Yes,Yes,Yes,Yes,No,6,3.0,4.2,76.9,6.0,Medium,82.8,37.8
92,College,Female,21,Urban,OBC,Private,Hindi,11835,No School,12th,Yes,Yes,No,No,No,6,1.3,3.2,80.3,8.1,Low,91.1,33.7
93,College,Male,22,Rural,General,Private,Hindi,6580,12th,Graduate,Yes,Yes,No,No,No,5,6.5,2.5,69.3,8.7,Low,81.6,31.5
94,College,Male,21,Rural,OBC,Private,English,39430,10th,No School,Yes,No,No,Yes,No,4,14.4,3.1,58.3,5.8,Low,82.1,39.7
95,College,Male,20,Rural,OBC,Private,English,18575,Postgraduate,Graduate,Yes,Yes,No,Yes,No,3,6.8,0.9,70.9,8.6,Medium,74.3,30.0
96,College,Female,17,Rural,SC,Government,English,43302,Graduate,12th,Yes,No,No,No,No,4,0.7,3.2,83.5,5.5,Medium,89.8,40.9
97,College,Male,21,Urban,SC,Private,English,98255,Graduate,Postgraduate,Yes,Yes,Yes,Yes,No,6,2.2,5.0,91.8,5.6,Medium,95.9,54.5
98,College,Female,18,Urban,General,Government,English,151653,No School,12th,Yes,Yes,No,No,Yes,3,15.8,1.9,57.7,4.7,Medium,97.3,53.9
99,College,Male,19,Urban,OBC,Government,Hindi,8837,12th,12th,Yes,No,No,No,No,3,10.4,2.4,68.5,9.0,Medium,69.1,30.0
100,College,Male,24,Urban,SC,Government,Hindi,15560,No School,Graduate,No,No,Yes,No,Yes,7,19.3,1.4,67.1,8.3,Medium,61.4,30.0
101,College,Male,24,Urban,SC,Government,Hindi,34750,12th,12th,Yes,Yes,No,Yes,Yes,7,4.4,4.2,93.7,4.6,Low,83.2,45.6
102,College,Male,18,Urban,General,Government,Hindi,68667,12th,12th,Yes,Yes,Yes,Yes,No,7,18.4,3.2,80.9,8.5,Low,98.0,52.7
103,College,Female,19,Rural,SC,Government,Hindi,13442,12th,Graduate,Yes,Yes,Yes,No,No,4,14.6,1.4,65.9,7.8,Low,69.4,30.0
104,College,Male,18,Rural,OBC,Private,Hindi,35690,No School,12th,Yes,Yes,No,No,Yes,4,12.5,1.9,68.3,8.5,Medium,74.5,30.0
105,College,Female,23,Rural,General,Government,English,14380,10th,10th,No,Yes,Yes,No,Yes,4,5.1,2.2,77.1,7.2,Low,71.8,30.0
106,College,Female,22,Rural,OBC,Government,Hindi,6339,12th,Graduate,Yes,Yes,No,Yes,No,5,12.7,3.4,65.4,6.7,Low,75.1,33.0
107,College,Male,17,Rural,OBC,Private,Hindi,17216,12th,10th,No,Yes,Yes,Yes,Yes,5,18.9,3.4,60.5,7.3,Low,73.8,30.0
108,College,Male,19,Rural,SC,Private,English,15577,Graduate,Graduate,Yes,Yes,No,Yes,No,4,1.1,1.7,80.1,5.4,Medium,90.5,33.2
109,College,Male,20,Rural,General,Government,Hindi,8956,12th,10th,Yes,Yes,No,Yes,Yes,6,3.5,4.5,65.1,6.8,Low,98.0,37.5
110,College,Male,19,Urban,OBC,Private,English,7274,10th,No School,Yes,Yes,No,Yes,No,6,12.4,3.3,81.1,8.8,Medium,85.1,38.2
111,College,Male,17,Rural,ST,Government,Hindi,42367,10th,Graduate,Yes,Yes,Yes,No,No,8,11.2,3.0,71.4,5.5,Medium,83.1,35.7
112,College,Male,24,Rural,SC,Private,Hindi,46740,12th,12th,Yes,Yes,Yes,Yes,Yes,6,1.1,6.2,93.3,5.7,Medium,98.0,54.8
113,College,Male,22,Rural,SC,Government,Hindi,37149,Graduate,No School,Yes,Yes,Yes,No,No,7,17.4,3.0,71.3,5.9,Low,90.9,37.3
114,College,Male,21,Rural,SC,Government,Hindi,90606,Postgraduate,No School,Yes,Yes,Yes,No,No,7,18.1,3.5,68.5,8.8,Low,96.6,52.0
115,College,Male,17,Rural,General,Private,Hindi,8424,Postgraduate,Graduate,No,Yes,Yes,Yes,No,3,14.9,3.2,58.9,5.6,High,75.0,31.5
116,College,Female,19,Rural,OBC,Government,English,38410,10th,Graduate,No,Yes,No,No,No,4,3.7,3.8,78.7,8.1,Low,98.0,42.9
117,College,Female,22,Rural,General,Private,English,12601,10th,12th,Yes,Yes,No,No,No,8,20.0,2.8,83.6,5.7,Medium,81.7,33.9
118,College,Female,18,Rural,OBC,Government,English,17445,No School,10th,Yes,Yes,Yes,Yes,Yes,3,6.8,3.3,81.1,8.1,Medium,89.2,39.6
119,College,Female,17,Rural,General,Government,Hindi,130237,No School,No School,Yes,No,Yes,Yes,No,3,17.4,4.4,60.1,6.9,Medium,98.0,62.5
120,College,Male,23,Urban,General,Government,English,6086,Graduate,No School,Yes,Yes,Yes,No,No,6,2.2,3.6,89.4,5.4,Medium,85.3,38.7
121,College,Female,20,Urban,SC,Government,Hindi,98379,No School,12th,Yes,Yes,Yes,No,Yes,8,2.5,1.8,77.8,7.9,Medium,98.0,48.0
122,College,Female,19,Rural,General,Government,Hindi,44317,No School,12th,Yes,Yes,Yes,Yes,No,3,16.8,4.7,70.4,5.0,Low,85.4,35.6
123,College,Male,22,Rural,General,Government,Hindi,11793,10th,No School,Yes,Yes,Yes,No,No,5,6.6,6.2,73.9,8.7,High,90.9,41.4
124,College,Male,23,Urban,SC,Private,English,24829,12th,10th,No,Yes,Yes,No,No,8,2.6,3.7,73.3,6.9,Low,84.8,44.8
125,College,Female,21,Rural,OBC,Government,Hindi,15389,12th,12th,Yes,No,Yes,Yes,No,3,8.8,4.8,96.9,8.3,Low,94.2,42.6
126,College,Male,19,Urban,OBC,Private,English,8348,Postgraduate,No School,Yes,Yes,Yes,No,No,8,3.3,0.5,81.1,7.7,Low,71.6,30.0
127,College,Female,23,Rural,OBC,Private,English,18858,10th,12th,Yes,Yes,Yes,Yes,Yes,5,17.6,5.0,69.9,7.5,Medium,98.0,43.4
128,College,Male,17,Rural,OBC,Government,Hindi,5137,10th,10th,Yes,No,No,Yes,No,8,5.6,3.0,78.1,8.4,Low,75.9,33.4
129,College,Male,21,Urban,General,Government,Hindi,163463,Graduate,10th,Yes,Yes,Yes,No,Yes,7,16.3,3.8,59.4,5.0,Low,98.0,62.1
130,College,Female,22,Urban,SC,Government,Hindi,17636,Graduate,Graduate,Yes,Yes,No,No,Yes,4,2.7,1.1,81.5,5.1,Medium,71.2,30.4
131,College,Female,20,Rural,General,Private,Hindi,25435,12th,10th,Yes,Yes,No,Yes,Yes,8,16.8,3.6,86.1,8.3,Medium,87.9,42.7
132,College,Female,24,Urban,General,Private,Hindi,9090,12th,No School,Yes,Yes,No,No,No,8,5.0,3.9,70.6,6.4,Low,77.0,37.6
133,College,Male,19,Rural,General,Private,Hindi,30426,10th,10th,Yes,Yes,No,Yes,Yes,6,2.6,0.9,72.7,7.1,Medium,64.8,31.3
134,College,Female,22,Rural,OBC,Government,English,73944,No School,10th,Yes,Yes,No,Yes,Yes,5,12.1,2.6,74.1,7.9,Medium,85.5,38.3
135,College,Male,21,Urban,OBC,Private,English,9488,Graduate,10th,Yes,Yes,Yes,Yes,No,6,14.9,4.2,73.1,7.4,Low,91.7,41.9
136,College,Male,22,Rural,SC,Government,English,26765,12th,Graduate,No,No,No,Yes,No,7,8.2,3.2,65.4,5.5,Medium,86.6,32.9
137,College,Female,22,Urban,OBC,Private,Hindi,69886,12th,10th,Yes,Yes,No,No,Yes,3,2.2,3.0,81.5,6.1,Low,90.9,47.0
138,College,Male,19,Rural,OBC,Government,Hindi,26789,12th,No School,No,Yes,No,No,Yes,8,3.4,5.5,87.3,6.1,Low,81.8,38.6
139,College,Female,22,Urban,OBC,Government,English,41090,12th,12th,Yes,Yes,No,Yes,Yes,6,10.9,3.3,75.3,7.9,Medium,85.1,40.1
140,College,Female,20,Rural,OBC,Government,Hindi,8687,Graduate,No School,Yes,No,Yes,No,Yes,7,18.0,1.7,56.5,7.1,High,67.8,30.0
141,College,Female,24,Rural,OBC,Government,English,9289,10th,12th,Yes,Yes,No,No,No,7,11.1,2.7,71.0,6.7,Low,84.7,34.7
142,College,Male,21,Urban,OBC,Government,Hindi,5022,12th,12th,Yes,Yes,No,Yes,No,4,2.2,4.3,80.5,6.6,Low,97.4,45.4
143,College,Female,20,Rural,General,Government,Hindi,19392,Graduate,Graduate,Yes,Yes,No,No,No,3,5.2,5.3,96.2,7.9,Low,98.0,43.1
144,College,Male,22,Urban,OBC,Private,English,94400,No School,12th,Yes,Yes,No,Yes,Yes,5,5.4,2.5,79.7,8.9,Low,98.0,51.6
145,College,Female,18,Rural,SC,Private,English,30515,Graduate,12th,Yes,Yes,No,Yes,No,7,15.0,5.0,78.4,7.9,Low,98.0,40.9
146,College,Male,18,Urban,OBC,Government,English,38751,10th,10th,Yes,Yes,Yes,Yes,No,7,2.2,1.7,66.3,4.7,Medium,73.8,38.7
147,College,Female,20,Urban,OBC,Private,Hindi,87485,12th,No School,No,No,Yes,Yes,No,6,16.0,4.4,74.4,4.7,Medium,98.0,47.3
148,College,Male,24,Urban,OBC,Private,Hindi,8206,10th,Graduate,No,Yes,Yes,Yes,No,8,7.9,3.9,81.1,8.2,Low,85.2,35.9
149,College,Female,19,Urban,General,Government,English,16702,12th,12th,Yes,Yes,No,No,No,5,16.9,1.2,66.8,7.6,Low,78.5,30.0
150,College,Male,18,Urban,OBC,Private,Hindi,16203,No School,12th,Yes,Yes,No,Yes,No,3,5.1,1.6,83.7,5.8,Low,85.4,35.1
151,College,Male,18,Urban,OBC,Government,English,36498,No School,12th,Yes,Yes,No,No,No,5,16.5,3.7,70.3,5.8,Medium,81.7,39.6
152,College,Female,22,Rural,General,Government,Hindi,6796,12th,12th,Yes,Yes,No,Yes,No,8,19.0,3.6,56.7,6.6,High,77.9,37.1
153,College,Female,21,Urban,General,Government,Hindi,95428,10th,Postgraduate,Yes,Yes,No,Yes,No,8,7.5,4.2,81.7,6.7,Low,98.0,51.4
154,College,Female,21,Urban,General,Government,English,10395,Postgraduate,No School,Yes,Yes,No,No,No,6,5.7,4.1,75.0,6.7,Medium,89.8,37.7
155,College,Female,21,Rural,SC,Government,Hindi,32666,Graduate,No School,Yes,No,No,No,Yes,8,19.1,3.3,48.5,4.7,Low,86.1,36.1
156,College,Male,23,Rural,General,Government,Hindi,30988,No School,12th,Yes,Yes,Yes,Yes,Yes,4,19.9,2.8,65.2,5.5,Medium,76.0,37.2
157,College,Male,22,Urban,SC,Government,Hindi,14306,Graduate,Postgraduate,Yes,Yes,No,Yes,No,3,1.0,0.8,87.7,6.8,Medium,72.9,35.9
158,College,Male,19,Rural,OBC,Government,Hindi,15784,Graduate,10th,Yes,Yes,Yes,Yes,No,7,15.4,3.7,70.4,7.1,Low,79.8,35.3
159,College,Male,23,Urban,General,Private,Hindi,14028,Postgraduate,12th,Yes,Yes,No,Yes,No,5,19.2,3.4,68.6,7.4,Low,76.5,39.6
160,College,Male,20,Urban,General,Government,Hindi,127078,10th,Graduate,No,Yes,Yes,No,Yes,5,4.5,4.3,76.3,7.3,Medium,98.0,54.1
161,College,Male,23,Urban,General,Government,Hindi,41387,12th,10th,Yes,Yes,No,Yes,No,8,1.8,4.1,94.4,4.6,Low,98.0,46.4
162,College,Female,21,Urban,General,Government,Hindi,18076,Graduate,12th,Yes,Yes,No,No,Yes,5,15.0,6.5,79.5,8.2,Medium,98.0,42.6
163,College,Female,21,Rural,SC,Private,English,44612,No School,12th,Yes,Yes,Yes,No,No,4,8.1,2.6,61.4,8.8,Medium,70.9,38.6
164,College,Female,22,Urban,OBC,Government,English,20597,No School,Postgraduate,Yes,Yes,Yes,Yes,No,7,19.1,2.5,59.2,8.6,Low,69.2,31.7
165,College,Female,21,Urban,OBC,Government,English,29001,12th,No School,Yes,Yes,Yes,No,Yes,7,12.9,2.5,78.3,8.5,Low,77.8,41.2
166,College,Male,20,Rural,OBC,Government,English,20673,No School,10th,Yes,No,Yes,Yes,No,4,3.1,5.2,88.0,8.5,Low,92.5,41.7
167,College,Male,20,Urban,General,Private,English,45604,Graduate,Graduate,Yes,Yes,Yes,Yes,Yes,8,7.9,3.1,66.8,7.4,Medium,87.6,37.9
168,College,Male,24,Urban,OBC,Government,English,22170,12th,Postgraduate,Yes,Yes,Yes,No,Yes,7,19.0,4.6,91.7,6.7,Medium,98.0,52.6
169,College,Male,22,Urban,OBC,Private,Hindi,10396,No School,Postgraduate,No,Yes,No,No,No,4,19.4,3.6,66.7,6.3,Medium,94.3,33.4
170,College,Female,22,Urban,ST,Private,English,19971,Graduate,10th,No,Yes,No,Yes,No,4,18.6,5.0,62.0,4.6,Medium,77.8,33.3
171,College,Male,23,Rural,OBC,Private,Hindi,9241,12th,No School,Yes,Yes,Yes,Yes,Yes,4,6.7,0.6,54.9,7.1,High,66.7,30.8
172,College,Male,17,Urban,General,Government,English,38517,10th,10th,No,Yes,Yes,No,No,5,7.4,0.5,62.4,5.9,Low,75.6,30.0
173,College,Male,20,Urban,ST,Government,English,150131,12th,10th,No,Yes,Yes,No,No,3,12.2,6.2,64.1,8.3,High,98.0,57.0
