Student_ID,Name,Branch,Current_Year,Family_Income,Parent_Education,Resources_Access,Community_Involvement,Study_Hours_Week,Attendance_Rate,Stress_Level,Health_Status,CGPA,Performance_Category,Sem_1_GPA,Sem_2_GPA,Sem_3_GPA,Sem_4_GPA,Sem_5_GPA,Sem_6_GPA,Sem_7_GPA,Sem_8_GPA
STU_1024,Student_25,Computer Science,3,Low,PhD,No,Moderate,7,72,Low,Good,6.03,Average,6.12,6.86,5.79,5.36,,,,
STU_1025,Student_26,Civil,3,Low,Bachelor,No,Moderate,14,90,Low,Poor,8.61,Excellent,8.29,8.96,8.82,8.36,,,,
STU_1026,Student_27,Information Technology,4,High,High School,Yes,Moderate,7,70,Moderate,Poor,8.35,Good,8.22,8.55,8.66,7.78,8.79,8.07,,
STU_1027,Student_28,Computer Science,4,Middle,Master,Yes,Moderate,39,75,High,Poor,7.15,Good,7.72,7.17,7.31,6.78,6.05,7.87,,
STU_1028,Student_29,Civil,4,Middle,Bachelor,Yes,High,9,86,Moderate,Average,6.76,Average,7.14,6.7,6.46,6.83,6.3,7.13,,
STU_1029,Student_30,Computer Science,1,Middle,High School,No,Low,28,92,Low,Poor,8.07,Good,8.07,,,,,,,
STU_1030,Student_31,Information Technology,1,High,Bachelor,Yes,High,20,74,Moderate,Average,7.39,Good,7.39,,,,,,,
STU_1031,Student_32,Computer Science,3,Low,High School,No,Low,38,67,Low,Poor,7.1,Good,7.56,6.9,7.21,6.72,,,,
STU_1032,Student_33,Mechanical,2,Low,PhD,Yes,Low,13,74,High,Average,9.41,Excellent,8.91,9.92,,,,,,
STU_1033,Student_34,Computer Science,2,High,High School,Yes,Low,38,96,Moderate,Average,9.36,Excellent,9.08,9.64,,,,,,
STU_1034,Student_35,Mechanical,4,Low,High School,Yes,Moderate,26,78,Low,Good,8.29,Good,8.45,8.41,7.54,8.62,8.89,7.86,,
STU_1035,Student_36,Mechanical,1,High,Master,No,Low,5,73,Low,Poor,6.72,Average,6.72,,,,,,,
STU_1036,Student_37,Civil,3,Low,Bachelor,No,Low,7,95,Moderate,Poor,9.95,Excellent,9.8,10.0,10.0,9.99,,,,
STU_1037,Student_38,Computer Science,4,High,Master,Yes,High,14,72,Moderate,Poor,7.77,Good,7.76,7.97,7.77,7.18,7.98,7.99,,
STU_1038,Student_39,Information Technology,1,Low,Bachelor,No,Moderate,16,92,Low,Average,4.55,Low/At-Risk,4.55,,,,,,,
STU_1039,Student_40,Electronics,1,Middle,Bachelor,No,High,12,73,Low,Good,6.0,Average,6.0,,,,,,,
STU_1040,Student_41,Information Technology,1,High,Master,Yes,Low,34,67,High,Good,10.0,Excellent,10.0,,,,,,,
STU_1041,Student_42,Civil,2,Middle,High School,Yes,Low,24,95,Moderate,Good,7.6,Good,7.55,7.65,,,,,,
STU_1042,Student_43,Information Technology,4,High,Bachelor,No,High,11,62,Low,Good,9.04,Excellent,8.78,9.23,9.37,9.85,8.8,8.24,,
STU_1043,Student_44,Electronics,3,High,Master,Yes,Moderate,37,85,Low,Good,10.0,Excellent,10.0,10.0,10.0,10.0,,,,
STU_1044,Student_45,Computer Science,3,Low,Bachelor,No,Low,14,74,Low,Average,6.18,Average,5.86,6.37,6.41,6.08,,,,
STU_1045,Student_46,Information Technology,4,Low,PhD,No,Low,32,76,High,Average,7.21,Good,7.82,7.29,7.57,7.05,6.95,6.61,,
STU_1046,Student_47,Electronics,2,Low,Bachelor,No,High,31,88,Moderate,Good,9.2,Excellent,9.62,8.77,,,,,,
STU_1047,Student_48,Electronics,3,High,PhD,No,Moderate,8,98,Low,Good,8.75,Excellent,7.47,8.97,10.0,8.57,,,,
STU_1048,Student_49,Civil,2,Middle,Master,Yes,High,39,60,Low,Good,9.54,Excellent,10.0,9.07,,,,,,
STU_1049,Student_50,Information Technology,2,High,Master,No,High,19,65,Low,Poor,5.43,Average,5.7,5.15,,,,,,
STU_1050,Student_51,Information Technology,4,Low,Master,Yes,Moderate,17,84,Low,Good,8.66,Excellent,8.3,8.16,8.24,9.46,9.06,8.72,,
STU_1051,Student_52,Information Technology,2,Middle,High School,Yes,Low,18,63,High,Good,7.62,Good,7.62,7.61,,,,,,
STU_1052,Student_53,Mechanical,4,Low,Master,No,Low,5,65,Moderate,Average,7.33,Good,7.79,8.35,6.75,7.33,6.07,7.66,,
STU_1053,Student_54,Computer Science,1,Middle,High School,Yes,Moderate,5,97,High,Average,5.77,Average,5.77,,,,,,,
STU_1054,Student_55,Mechanical,2,High,Master,No,Moderate,30,85,Low,Poor,9.62,Excellent,9.23,10.0,,,,,,
STU_1055,Student_56,Electronics,1,Middle,PhD,Yes,High,19,83,Low,Poor,7.38,Good,7.38,,,,,,,
STU_1056,Student_57,Information Technology,4,Middle,PhD,Yes,Moderate,21,73,Moderate,Average,4.1,Low/At-Risk,4.61,4.0,4.0,4.0,4.0,4.0,,
STU_1057,Student_58,Electronics,4,High,Bachelor,Yes,Low,31,76,High,Good,5.73,Average,4.97,6.79,5.46,5.45,6.22,5.46,,
STU_1058,Student_59,Computer Science,4,High,Master,No,Moderate,14,72,High,Good,7.74,Good,8.01,7.82,8.21,7.85,7.19,7.37,,
STU_1059,Student_60,Electronics,2,Middle,Bachelor,Yes,Low,18,73,Low,Good,8.66,Excellent,8.57,8.76,,,,,,
STU_1060,Student_61,Civil,4,Middle,PhD,No,Moderate,21,75,Low,Good,9.7,Excellent,10.0,9.96,9.48,9.19,9.59,10.0,,
STU_1061,Student_62,Computer Science,4,Middle,Master,No,Low,29,92,Moderate,Poor,9.87,Excellent,10.0,10.0,10.0,9.93,9.64,9.67,,
STU_1062,Student_63,Electronics,2,High,Bachelor,Yes,Low,8,99,High,Good,7.93,Good,8.35,7.51,,,,,,
STU_1063,Student_64,Civil,4,Middle,Bachelor,Yes,Low,27,79,High,Average,7.23,Good,7.27,7.32,6.91,8.41,6.3,7.19,,
STU_1064,Student_65,Computer Science,1,Low,Bachelor,Yes,Low,32,89,High,Average,4.0,Low/At-Risk,4.0,,,,,,,
STU_1065,Student_66,Mechanical,3,Low,PhD,Yes,Moderate,31,84,High,Good,6.9,Average,7.6,6.15,6.73,7.13,,,,
STU_1066,Student_67,Mechanical,4,High,Master,Yes,Moderate,7,78,Moderate,Average,6.36,Average,6.14,6.33,6.28,6.53,6.47,6.38,,
STU_1067,Student_68,Computer Science,4,Middle,Master,No,Low,37,68,Low,Poor,7.06,Good,6.91,7.34,6.42,7.73,6.56,7.42,,
STU_1068,Student_69,Civil,3,Middle,Master,No,Low,22,72,Moderate,Average,7.37,Good,7.93,6.85,7.73,6.96,,,,
STU_1069,Student_70,Computer Science,3,Low,High School,No,Low,35,87,Moderate,Good,9.97,Excellent,10.0,9.89,10.0,10.0,,,,
STU_1070,Student_71,Electronics,1,High,Bachelor,Yes,Low,17,61,Moderate,Average,6.89,Average,6.89,,,,,,,
STU_1071,Student_72,Computer Science,3,High,Master,Yes,Moderate,36,75,Low,Average,9.8,Excellent,9.94,9.53,10.0,9.72,,,,
STU_1072,Student_73,Information Technology,3,High,Master,No,Low,32,75,Moderate,Average,7.75,Good,7.61,8.17,7.29,7.91,,,,
STU_1073,Student_74,Mechanical,3,Low,High School,Yes,Moderate,6,63,Low,Average,9.22,Excellent,9.94,9.03,8.67,9.26,,,,
STU_1074,Student_75,Information Technology,2,Middle,Master,No,High,38,89,Moderate,Average,9.28,Excellent,9.39,9.17,,,,,,
STU_1075,Student_76,Mechanical,3,Low,PhD,Yes,High,31,61,High,Poor,9.04,Excellent,8.88,9.14,9.33,8.81,,,,
STU_1076,Student_77,Computer Science,4,Middle,Bachelor,Yes,High,38,71,Low,Good,9.33,Excellent,9.18,9.32,9.57,9.65,9.14,9.13,,
STU_1077,Student_78,Information Technology,4,High,Master,No,Moderate,20,70,High,Good,5.98,Average,6.15,5.47,6.25,6.25,5.94,5.85,,
STU_1078,Student_79,Mechanical,2,Low,Master,No,High,24,94,Moderate,Poor,5.71,Average,5.57,5.86,,,,,,
STU_1079,Student_80,Mechanical,1,High,High School,No,High,11,82,High,Average,5.72,Average,5.72,,,,,,,
STU_1080,Student_81,Mechanical,4,High,Bachelor,Yes,Low,28,91,Low,Average,9.35,Excellent,9.36,9.68,8.59,9.85,9.1,9.52,,
STU_1081,Student_82,Electronics,1,Middle,Bachelor,No,High,17,78,Low,Good,9.15,Excellent,9.15,,,,,,,
STU_1082,Student_83,Computer Science,3,High,PhD,Yes,Low,9,67,High,Poor,7.07,Good,7.18,6.68,6.74,7.69,,,,
STU_1083,Student_84,Information Technology,1,Middle,Master,Yes,Moderate,23,97,Moderate,Good,8.77,Excellent,8.77,,,,,,,
STU_1084,Student_85,Information Technology,4,Middle,High School,Yes,Moderate,34,76,High,Average,6.86,Average,7.21,7.05,6.56,6.43,6.85,7.09,,
STU_1085,Student_86,Computer Science,3,Middle,High School,No,High,25,85,Low,Average,9.03,Excellent,8.81,9.89,9.09,8.32,,,,
STU_1086,Student_87,Civil,4,Low,Master,No,Moderate,10,81,Moderate,Average,4.96,Low/At-Risk,4.24,4.43,4.65,4.78,5.68,5.99,,
STU_1087,Student_88,Electronics,4,Low,Bachelor,Yes,Moderate,18,82,Low,Good,6.15,Average,5.97,6.38,6.82,6.07,6.13,5.55,,
STU_1088,Student_89,Computer Science,4,Middle,Master,No,Low,39,72,Low,Average,9.73,Excellent,10.0,9.63,10.0,9.14,10.0,9.61,,
STU_1089,Student_90,Computer Science,2,High,High School,Yes,Moderate,24,72,Low,Poor,9.41,Excellent,9.15,9.66,,,,,,
STU_1090,Student_91,Computer Science,4,High,Bachelor,Yes,Moderate,10,96,Moderate,Good,7.78,Good,7.76,7.98,7.24,7.6,8.1,7.99,,
STU_1091,Student_92,Electronics,4,Low,PhD,Yes,Low,15,70,Moderate,Good,4.38,Low/At-Risk,4.88,4.73,4.16,4.11,4.18,4.21,,
STU_1092,Student_93,Computer Science,4,Low,High School,Yes,High,24,61,Low,Poor,8.82,Excellent,9.27,8.2,9.41,8.33,9.23,8.47,,
STU_1093,Student_94,Mechanical,2,High,High School,Yes,High,39,95,Moderate,Poor,6.68,Average,6.86,6.5,,,,,,
STU_1094,Student_95,Mechanical,1,High,Bachelor,Yes,Low,35,97,Moderate,Average,10.0,Excellent,10.0,,,,,,,
STU_1095,Student_96,Electronics,4,High,High School,Yes,Moderate,17,64,Low,Good,5.69,Average,6.85,4.69,5.91,5.51,5.72,5.46,,
STU_1096,Student_97,Computer Science,2,Low,High School,Yes,Moderate,20,78,High,Good,5.39,Average,6.02,4.77,,,,,,
STU_1097,Student_98,Information Technology,1,High,Master,No,High,12,95,Moderate,Average,9.15,Excellent,9.15,,,,,,,
STU_1098,Student_99,Mechanical,4,Middle,High School,Yes,Moderate,17,89,Moderate,Good,5.5,Average,5.58,4.99,5.93,5.59,5.47,5.41,,
STU_1099,Student_100,Computer Science,2,Low,PhD,No,Low,15,78,Moderate,Poor,9.97,Excellent,10.0,9.95,,,,,,
STU_1100,Student_101,Computer Science,2,High,PhD,No,Low,32,81,Low,Average,9.73,Excellent,10.0,9.47,,,,,,
STU_1101,Student_102,Information Technology,1,Middle,PhD,Yes,High,12,88,Moderate,Average,9.17,Excellent,9.17,,,,,,,
STU_1102,Student_103,Mechanical,3,Middle,Master,No,High,14,69,Moderate,Good,5.51,Average,5.99,5.67,4.94,5.45,,,,
STU_1103,Student_104,Information Technology,3,Middle,PhD,Yes,Low,21,82,Moderate,Good,7.97,Good,8.74,7.11,8.19,7.84,,,,
STU_1104,Student_105,Information Technology,2,Low,High School,Yes,Low,13,84,High,Average,5.19,Average,5.25,5.12,,,,,,
STU_1105,Student_106,Computer Science,4,Low,PhD,No,High,11,85,High,Average,7.58,Good,7.98,6.68,7.94,7.32,8.25,7.3,,
STU_1106,Student_107,Mechanical,4,Low,Master,No,Moderate,28,93,High,Good,8.15,Good,7.98,8.45,8.99,7.68,7.64,8.17,,
STU_1107,Student_108,Mechanical,2,High,PhD,No,Low,7,74,Low,Poor,7.65,Good,8.12,7.19,,,,,,
STU_1108,Student_109,Computer Science,1,High,Bachelor,Yes,Moderate,31,97,Moderate,Average,9.89,Excellent,9.89,,,,,,,
STU_1109,Student_110,Computer Science,4,High,PhD,Yes,Moderate,19,85,Moderate,Poor,6.21,Average,5.88,5.84,6.24,6.7,6.61,6.0,,
STU_1110,Student_111,Information Technology,4,High,PhD,Yes,Low,11,70,Moderate,Poor,9.88,Excellent,9.82,9.72,10.0,10.0,9.87,9.88,,
STU_1111,Student_112,Information Technology,2,Low,Bachelor,No,High,11,62,Low,Good,8.35,Good,8.22,8.47,,,,,,
STU_1112,Student_113,Electronics,2,Middle,Bachelor,No,Moderate,34,87,Moderate,Average,8.85,Excellent,8.37,9.33,,,,,,
STU_1113,Student_114,Civil,4,Middle,PhD,No,High,18,86,High,Average,6.0,Average,5.69,6.03,6.27,6.53,6.0,5.51,,
STU_1114,Student_115,Civil,2,Low,Bachelor,No,Low,15,69,Low,Average,7.29,Good,7.2,7.39,,,,,,
STU_1115,Student_116,Mechanical,2,High,Bachelor,Yes,Low,25,61,High,Average,7.78,Good,7.73,7.83,,,,,,
STU_1116,Student_117,Information Technology,2,High,High School,Yes,Low,35,92,Low,Average,6.95,Average,6.72,7.17,,,,,,
STU_1117,Student_118,Computer Science,2,Low,Master,Yes,Moderate,33,94,Moderate,Good,5.92,Average,5.83,6.0,,,,,,
STU_1118,Student_119,Computer Science,4,Middle,Bachelor,No,High,20,84,Moderate,Average,7.21,Good,7.3,7.28,7.13,6.69,7.01,7.88,,
STU_1119,Student_120,Computer Science,3,Middle,PhD,Yes,High,8,80,High,Poor,6.09,Average,6.14,6.32,5.23,6.66,,,,
STU_1120,Student_121,Civil,4,Middle,Bachelor,Yes,High,20,75,High,Average,6.02,Average,5.3,5.84,6.16,6.81,5.64,6.36,,
STU_1121,Student_122,Computer Science,1,High,Bachelor,Yes,Low,20,76,High,Average,7.46,Good,7.46,,,,,,,
STU_1122,Student_123,Mechanical,3,High,Master,No,Low,19,97,High,Good,7.32,Good,7.68,7.69,6.9,7.0,,,,
STU_1123,Student_124,Mechanical,2,Middle,High School,No,Low,32,73,High,Poor,8.04,Good,8.07,8.0,,,,,,
STU_1124,Student_125,Information Technology,3,Middle,PhD,Yes,High,8,91,High,Poor,6.02,Average,5.93,6.4,5.19,6.56,,,,
STU_1125,Student_126,Computer Science,2,Middle,High School,Yes,High,7,87,Moderate,Poor,7.62,Good,7.98,7.26,,,,,,
STU_1126,Student_127,Information Technology,3,Middle,Bachelor,No,Moderate,29,73,High,Poor,5.08,Average,4.44,5.27,5.01,5.61,,,,
STU_1127,Student_128,Information Technology,4,High,High School,Yes,Low,14,99,Moderate,Good,7.3,Good,7.09,7.39,7.95,7.51,5.83,8.02,,
STU_1128,Student_129,Electronics,1,Middle,Bachelor,Yes,High,36,89,Moderate,Poor,7.52,Good,7.52,,,,,,,
STU_1129,Student_130,Computer Science,3,High,Bachelor,Yes,Moderate,7,74,High,Good,6.79,Average,6.24,7.3,6.84,6.78,,,,
STU_1130,Student_131,Civil,3,Middle,Master,Yes,Moderate,26,73,High,Good,5.95,Average,6.44,5.48,6.06,5.82,,,,
STU_1131,Student_132,Information Technology,3,Middle,PhD,No,High,31,72,Moderate,Good,5.49,Average,5.28,5.27,5.83,5.57,,,,
STU_1132,Student_133,Mechanical,4,High,High School,No,Moderate,28,99,High,Average,9.9,Excellent,9.75,10.0,10.0,9.85,10.0,9.78,,
STU_1133,Student_134,Electronics,4,High,Master,No,Low,14,99,Low,Average,7.18,Good,6.98,6.46,8.07,7.34,7.12,7.14,,
STU_1134,Student_135,Electronics,3,Low,PhD,Yes,Low,18,63,High,Good,4.67,Low/At-Risk,4.9,4.73,4.31,4.72,,,,
STU_1135,Student_136,Information Technology,4,Middle,High School,Yes,High,30,95,High,Poor,6.91,Average,7.01,6.52,7.09,6.59,7.08,7.16,,
STU_1136,Student_137,Computer Science,3,High,Master,No,High,20,65,High,Good,8.6,Excellent,9.12,8.39,8.56,8.33,,,,
STU_1137,Student_138,Civil,3,Low,PhD,Yes,Low,13,98,Moderate,Good,8.24,Good,8.21,7.86,8.58,8.31,,,,
STU_1138,Student_139,Information Technology,2,Middle,High School,Yes,High,19,76,Moderate,Poor,7.99,Good,8.23,7.75,,,,,,
STU_1139,Student_140,Computer Science,2,Middle,Master,Yes,Moderate,11,85,Low,Good,9.62,Excellent,9.38,9.87,,,,,,
STU_1140,Student_141,Computer Science,1,Low,Bachelor,No,Low,36,63,High,Average,6.75,Average,6.75,,,,,,,
STU_1141,Student_142,Computer Science,2,Middle,PhD,Yes,High,17,99,Low,Average,5.32,Average,5.04,5.6,,,,,,
STU_1142,Student_143,Information Technology,4,Low,PhD,No,Low,35,67,High,Poor,7.86,Good,7.34,8.39,8.1,7.42,7.9,8.0,,
STU_1143,Student_144,Information Technology,1,Low,Master,Yes,Low,20,81,Moderate,Good,6.43,Average,6.43,,,,,,,
STU_1144,Student_145,Computer Science,2,Middle,PhD,Yes,Moderate,29,65,Low,Poor,6.57,Average,6.63,6.51,,,,,,
STU_1145,Student_146,Mechanical,2,Middle,High School,No,Moderate,27,78,High,Average,6.44,Average,6.42,6.46,,,,,,
STU_1146,Student_147,Electronics,4,Low,High School,No,Low,39,78,Low,Good,6.94,Average,6.47,6.87,6.56,6.92,7.31,7.51,,
STU_1147,Student_148,Electronics,1,Low,Master,No,Low,10,62,Moderate,Good,7.62,Good,7.62,,,,,,,
STU_1148,Student_149,Mechanical,4,Low,High School,Yes,Moderate,9,80,Low,Good,7.65,Good,8.04,8.04,7.74,7.89,7.19,7.0,,
STU_1149,Student_150,Civil,4,Middle,Master,Yes,Low,36,67,High,Poor,5.89,Average,5.45,5.95,6.36,5.56,5.47,6.52,,
STU_1150,Student_151,Mechanical,4,Low,Master,Yes,Moderate,11,69,Moderate,Good,7.81,Good,7.34,7.35,8.23,7.81,7.76,8.37,,
STU_1151,Student_152,Electronics,3,Middle,Master,No,High,17,76,Low,Poor,6.88,Average,6.47,6.85,6.95,7.27,,,,
STU_1152,Student_153,Electronics,4,Low,PhD,No,Moderate,36,77,Moderate,Poor,8.92,Excellent,9.4,8.97,9.46,9.24,8.1,8.33,,
STU_1153,Student_154,Mechanical,2,Middle,High School,Yes,High,13,95,Moderate,Average,5.72,Average,5.57,5.87,,,,,,
STU_1154,Student_155,Information Technology,4,Low,PhD,No,Low,14,79,Moderate,Good,6.95,Average,6.4,6.26,7.67,6.46,7.89,7.01,,
STU_1155,Student_156,Electronics,4,High,Master,No,High,30,96,Moderate,Good,6.54,Average,6.9,6.72,7.0,6.1,6.09,6.42,,
STU_1156,Student_157,Civil,1,Low,High School,Yes,Low,29,79,Low,Average,9.59,Excellent,9.59,,,,,,,
STU_1157,Student_158,Civil,2,High,PhD,Yes,High,21,88,Moderate,Poor,9.49,Excellent,8.98,10.0,,,,,,
STU_1158,Student_159,Electronics,3,High,High School,Yes,Low,12,63,Moderate,Good,6.61,Average,6.41,6.65,6.21,7.18,,,,
STU_1159,Student_160,Computer Science,4,High,Bachelor,Yes,Moderate,20,68,Moderate,Good,5.42,Average,5.5,6.02,5.07,5.85,5.2,4.87,,
STU_1160,Student_161,Civil,2,High,PhD,Yes,Moderate,30,91,Moderate,Good,9.28,Excellent,9.33,9.23,,,,,,
STU_1161,Student_162,Computer Science,2,Middle,Master,Yes,Low,8,76,High,Good,6.12,Average,6.41,5.84,,,,,,
STU_1162,Student_163,Electronics,4,Low,Master,Yes,Moderate,34,83,High,Good,7.3,Good,7.75,7.06,7.53,6.91,7.46,7.07,,
STU_1163,Student_164,Mechanical,3,Low,High School,No,Low,6,95,Low,Poor,4.08,Low/At-Risk,4.0,4.0,4.32,4.0,,,,
STU_1164,Student_165,Computer Science,3,Middle,Bachelor,No,Low,28,82,Moderate,Poor,9.45,Excellent,9.41,9.31,9.14,9.93,,,,
STU_1165,Student_166,Mechanical,3,High,Master,Yes,Moderate,16,63,High,Average,8.5,Excellent,8.91,7.87,8.85,8.38,,,,
STU_1166,Student_167,Information Technology,1,Low,PhD,No,Low,29,94,Moderate,Average,6.71,Average,6.71,,,,,,,
STU_1167,Student_168,Civil,3,High,High School,Yes,Moderate,38,81,Moderate,Good,7.2,Good,7.86,6.31,7.4,7.22,,,,
STU_1168,Student_169,Civil,4,Middle,High School,No,Moderate,37,91,High,Average,7.75,Good,8.16,7.29,7.48,7.71,7.04,8.83,,
STU_1169,Student_170,Civil,2,Middle,Master,Yes,Low,39,98,Low,Average,7.34,Good,7.92,6.76,,,,,,
STU_1170,Student_171,Electronics,4,High,PhD,No,Low,22,82,High,Good,9.82,Excellent,9.61,10.0,10.0,10.0,9.99,9.33,,
STU_1171,Student_172,Electronics,2,High,High School,Yes,Moderate,6,91,Moderate,Average,4.87,Low/At-Risk,5.06,4.68,,,,,,
STU_1172,Student_173,Mechanical,2,Middle,Master,No,High,13,86,High,Good,9.91,Excellent,10.0,9.82,,,,,,
STU_1173,Student_174,Computer Science,3,Middle,Bachelor,Yes,High,32,71,Moderate,Good,8.55,Excellent,8.8,8.62,8.5,8.28,,,,
STU_1174,Student_175,Information Technology,4,Low,PhD,No,High,38,84,Low,Good,7.48,Good,7.51,7.6,7.65,7.49,6.96,7.67,,
STU_1175,Student_176,Electronics,4,Low,Master,Yes,Moderate,22,90,Moderate,Average,7.93,Good,8.99,8.32,8.2,6.95,7.34,7.79,,
STU_1176,Student_177,Information Technology,2,High,Bachelor,No,Low,38,60,Moderate,Poor,10.0,Excellent,10.0,10.0,,,,,,
STU_1177,Student_178,Computer Science,3,Low,Master,Yes,High,13,60,Low,Good,6.13,Average,6.6,6.02,5.53,6.37,,,,
STU_1178,Student_179,Computer Science,1,High,Bachelor,No,High,38,67,High,Poor,5.33,Average,5.33,,,,,,,
STU_1179,Student_180,Civil,1,High,PhD,No,High,36,66,Low,Poor,9.08,Excellent,9.08,,,,,,,
STU_1180,Student_181,Civil,1,Middle,Bachelor,Yes,High,19,85,Moderate,Good,7.17,Good,7.17,,,,,,,
STU_1181,Student_182,Civil,4,Middle,Master,No,Moderate,5,68,High,Poor,8.19,Good,8.61,8.44,8.17,7.82,7.84,8.26,,
STU_1182,Student_183,Civil,2,High,PhD,No,High,16,65,High,Average,9.73,Excellent,9.76,9.7,,,,,,
STU_1183,Student_184,Civil,3,Middle,Bachelor,No,Low,36,83,Low,Good,6.43,Average,6.1,7.13,6.3,6.18,,,,
STU_1184,Student_185,Information Technology,2,Low,High School,No,Moderate,24,65,Moderate,Good,6.03,Average,5.77,6.29,,,,,,
STU_1185,Student_186,Information Technology,3,High,Bachelor,No,Moderate,33,99,Low,Average,8.21,Good,8.53,8.54,8.15,7.62,,,,
STU_1186,Student_187,Civil,4,High,Bachelor,Yes,Low,5,83,High,Average,4.0,Low/At-Risk,4.0,4.0,4.0,4.0,4.0,4.0,,
STU_1187,Student_188,Computer Science,4,High,High School,Yes,High,19,95,Moderate,Good,5.85,Average,6.49,5.85,5.56,5.27,6.3,5.64,,
STU_1188,Student_189,Mechanical,1,Middle,PhD,No,Moderate,12,93,High,Good,6.58,Average,6.58,,,,,,,
STU_1189,Student_190,Mechanical,2,High,Bachelor,No,Moderate,25,78,High,Average,9.63,Excellent,9.86,9.41,,,,,,
STU_1190,Student_191,Information Technology,4,Low,Bachelor,Yes,Moderate,12,72,High,Poor,7.67,Good,7.51,7.93,7.0,8.0,7.86,7.73,,
STU_1191,Student_192,Civil,3,Low,Master,No,High,7,61,High,Poor,8.66,Excellent,8.4,8.81,8.27,9.18,,,,
STU_1192,Student_193,Electronics,2,Middle,Master,Yes,Low,26,86,Moderate,Poor,7.18,Good,6.82,7.53,,,,,,
STU_1193,Student_194,Information Technology,1,Low,PhD,Yes,Low,35,86,High,Poor,7.77,Good,7.77,,,,,,,
STU_1194,Student_195,Information Technology,2,Middle,Master,No,Low,18,77,Moderate,Good,8.84,Excellent,8.89,8.79,,,,,,
STU_1195,Student_196,Mechanical,3,Low,Bachelor,Yes,Low,36,71,Moderate,Good,6.79,Average,6.51,6.53,6.76,7.37,,,,
